id,name,stem_key,base_cost_per_lb,unit,notes,default_yield_placeholder
巴西豬扒,巴西豬扒(原件),巴西豬扒,10.5,磅,company-quote-2025-10,0.85
巴西肉眼,巴西肉眼(原件),巴西肉眼,12.6,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=12.6 | prefer_原件抄碼_then_non代切_name | merge_key=巴西肉眼|磅,0.85
巴西腩排,巴西腩排(原件),巴西腩排,10.3,磅,company-quote-2025-10,0.85
巴西肋排,巴西肋排(原件)(抄碼),巴西肋排,14.2,磅,company-quote-2025-10,0.85
金沙骨,金沙骨(一字排) (5磅 / 包),金沙骨,14.2,磅,company-quote-2025-10,0.85
豬仔肋骨,豬仔肋骨(燒排骨),豬仔肋骨,12.7,磅,company-quote-2025-10,0.85
豬仔脾,豬仔脾(豬串骨),豬仔脾,26,磅,company-quote-2025-10,0.85
a級有皮挑骨豬腩,A級有皮挑骨豬腩(抄碼),A級有皮挑骨豬腩,14.8,磅,company-quote-2025-10,0.85
a級去皮挑骨豬腩,A級去皮挑骨豬腩(抄碼),A級去皮挑骨豬腩,17.8,磅,company-quote-2025-10,0.85
荷蘭豬軟骨,荷蘭豬軟骨(10K),荷蘭豬軟骨,13.8,磅,company-quote-2025-10,0.85
豬軟骨,豬軟骨,豬軟骨,13.8,磅,company-quote-2025-10 inferred_parent_from_cut_row,0.85
巴西梅肉,巴西梅肉,巴西梅肉,13,磅,company-quote-2025-10,0.85
肥標,肥標,肥標,6.5,磅,company-quote-2025-10,0.85
免治豬肉,免治豬肉(5磅 / 包),免治豬肉,11.2,磅,company-quote-2025-10,0.85
巴西赤肉,巴西赤肉,巴西赤肉,11.5,磅,company-quote-2025-10,0.85
豬面肉,豬面肉(豬頸肉),豬面肉,16.5,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=16.5 | prefer_原件抄碼_then_non代切_name | merge_key=豬面肉|磅,0.85
巴西豬手,巴西豬手,巴西豬手,5.5,磅,company-quote-2025-10,0.85
日本豬手,日本豬手,日本豬手,7,磅,company-quote-2025-10,0.85
咸豬手,咸豬手(2.5P)(15KG / 箱),咸豬手,11.5,磅,company-quote-2025-10,0.85
豬湯骨,豬湯骨(切) (5磅 / 包),豬湯骨,4.5,磅,company-quote-2025-10,0.85
豬筒骨,豬筒骨(切) (5磅 / 包),豬筒骨,4,磅,company-quote-2025-10,0.85
豬頸骨,豬頸骨,豬頸骨,5,磅,company-quote-2025-10,0.85
熟大腸,熟大腸,熟大腸,13,磅,company-quote-2025-10,0.85
巴西豬肚,巴西豬肚,巴西豬肚,10.2,磅,company-quote-2025-10,0.85
豬利,豬利,豬利,11,磅,company-quote-2025-10,0.85
豬耳,豬耳,豬耳,17,磅,company-quote-2025-10,0.85
豬皮,豬皮(已發) (10斤 / 袋),豬皮,15,磅,company-quote-2025-10,0.85
黑豚法式豬鞍,黑豚法式豬鞍,黑豚法式豬鞍,58,磅,company-quote-2025-10,0.85
西班牙黑豚梅肉,西班牙黑豚梅肉(代切刨片+$3),西班牙黑豚梅肉,64,磅,company-quote-2025-10,0.85
batalle-duroc-黑豚去皮挑骨豬腩,Batalle Duroc 黑豚去皮挑骨豬腩 (代切刨片+$ 2),Batalle Duroc 黑豚去皮挑骨豬腩,39,磅,company-quote-2025-10,0.85
西班牙黑豚豬肋,西班牙黑豚豬肋條,西班牙黑豚豬肋,68,磅,company-quote-2025-10,0.85
巴西牛腩,巴西牛腩,巴西牛腩,14.8,磅,company-quote-2025-10,0.85
牛肋,牛肋條,牛肋,32,磅,company-quote-2025-10 inferred_parent_from_cut_row,0.85
阿根廷牛根,阿根廷牛根,阿根廷牛根,12.8,磅,company-quote-2025-10,0.85
巴西-牛根,巴西(粗)牛根 (抄碼),巴西 牛根,15.8,磅,company-quote-2025-10,0.85
美國安格斯原條肉眼,美國安格斯原條肉眼 (代切+$2 up),美國安格斯原條肉眼,110,磅,company-quote-2025-10,0.85
美國安格斯西冷,美國安格斯西冷(代切+$2 up),美國安格斯西冷,95,磅,company-quote-2025-10,0.85
巴西西冷,巴西西冷(原條),巴西西冷,26.5,磅,company-quote-2025-10,0.85
美國斧頭扒0-87-0-0-磅-0-0-磅金錢展,美國斧頭扒0.87 $0.0 / 磅$0.0 / 磅金錢展,美國斧頭扒0.87 $0.0 / 磅$0.0 / 磅金錢展,23,磅,company-quote-2025-10 inferred_parent_from_cut_row,0.85
巴西3-4牛柳,巴西3 / 4牛柳,巴西3 / 4牛柳,45,磅,company-quote-2025-10,0.85
巴西牛柳頭,巴西牛柳頭 (原件),巴西牛柳頭,26.8,磅,company-quote-2025-10,0.85
切牛柳頭絲-切,切牛柳頭絲 / 切粒,切牛柳頭絲 / 切,26.8,磅,company-quote-2025-10,0.85
切牛柳頭扒-絲-切,切牛柳頭扒 / 絲 / 切粒,切牛柳頭扒 / 絲 / 切,26.8,磅,company-quote-2025-10,0.85
美國prime牛小排,美國Prime牛小排,美國Prime牛小排,128,磅,company-quote-2025-10,0.85
美國安格斯牛小排,美國安格斯牛小排 CAB,美國安格斯牛小排,118,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=118 | prefer_原件抄碼_then_non代切_name | merge_key=美國安格斯牛小排|磅,0.85
巴西牛冧,巴西牛冧(原件) (抄碼),巴西牛冧,27,磅,company-quote-2025-10,0.85
美國cab三支牛仔骨,美國CAB三支牛仔骨,美國CAB三支牛仔骨,56.3,磅,company-quote-2025-10 inferred_parent_from_cut_row,0.85
精選牛仔骨片0-87-0-0-磅-0-0-磅巴西牛利,精選牛仔骨片0.87 $0.0 / 磅$0.0 / 磅巴西牛利,精選牛仔骨片0.87 $0.0 / 磅$0.0 / 磅巴西牛利,10.6,磅,company-quote-2025-10,0.85
咸牛利,咸牛利,咸牛利,18,磅,company-quote-2025-10,0.85
熟咸牛利,熟咸牛利,熟咸牛利,41,磅,company-quote-2025-10,0.85
墨西哥sukarne雙片肥牛,墨西哥Sukarne雙片肥牛,墨西哥Sukarne雙片肥牛,23,磅,company-quote-2025-10 inferred_parent_from_cut_row,0.85
墨西哥雙片肥牛,墨西哥雙片肥牛片(5磅裝),墨西哥雙片肥牛,23,磅,company-quote-2025-10 inferred_parent_from_cut_row,0.85
美國s-p肥牛,美國S.P肥牛 (原件),美國S.P肥牛,30.2,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=30.2 | prefer_原件抄碼_then_non代切_name | merge_key=美國S.P肥牛|磅,0.85
美國肩胛三角肥牛,美國肩胛三角肥牛片,美國肩胛三角肥牛,57,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=57 | prefer_原件抄碼_then_non代切_name | merge_key=美國肩胛三角肥牛|磅,0.85
美國牛板健,美國牛板健(肩胛牛柳),美國牛板健,41,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=41 | prefer_原件抄碼_then_non代切_name | merge_key=美國牛板健|磅,0.85
美國下肩胛肉眼,美國下肩胛肉眼,美國下肩胛肉眼,48,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=48 | prefer_原件抄碼_then_non代切_name | merge_key=美國下肩胛肉眼|磅,0.85
安格斯一口牛,安格斯一口牛粒(5磅裝),安格斯一口牛,48,磅,company-quote-2025-10,0.85
美國下肩胛板翼,美國下肩胛板翼,美國下肩胛板翼,68.5,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=68.5 | prefer_原件抄碼_then_non代切_name | merge_key=美國下肩胛板翼|磅,0.85
巴西牛尾,巴西牛尾,巴西牛尾,14.5,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=14.5 | prefer_原件抄碼_then_non代切_name | merge_key=巴西牛尾|磅,0.85
牛柏葉,牛柏葉 (已發),牛柏葉,24,磅,company-quote-2025-10,0.85
澳洲金錢肚,澳洲金錢肚,澳洲金錢肚,25,磅,company-quote-2025-10,0.85
草肚,草肚 (抄碼),草肚,9.2,磅,company-quote-2025-10,0.85
免治牛肉,免治牛肉,免治牛肉,15.2,磅,company-quote-2025-10,0.85
芝士碎,芝士碎 (2kg / 包),芝士碎,126,包,company-quote-2025-10,0.85
馬蘇里拉芝士碎,馬蘇里拉芝士碎 (2kg / 包),馬蘇里拉芝士碎,135,包,company-quote-2025-10,0.85
芝士,芝士片(12片),芝士,13.5,包,company-quote-2025-10,0.85
牛油磚,牛油磚,牛油磚,21,磚,company-quote-2025-10,0.85
romi牛油,Romi牛油粒 (7gx400粒 / 箱),Romi牛油,270,箱,company-quote-2025-10,0.85
中國雞扒300,中國雞扒300+ (15KG),中國雞扒300+,7.5,磅,company-quote-2025-10,0.85
巴西雞扒,巴西雞扒(15KG),巴西雞扒,7.5,磅,company-quote-2025-10,0.85
有皮雞脾肉,有皮雞絲 / 球(5磅 / 包),有皮雞脾肉,7.4,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=7.4 | prefer_原件抄碼_then_non代切_name | merge_key=有皮雞脾肉|磅,0.85
去皮上脾肉,去皮上脾肉(2KG X 6餅),去皮上脾肉,7.9,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=7.9 | prefer_原件抄碼_then_non代切_name | merge_key=去皮上脾肉|磅,0.85
300-大白脾,300+大白脾(30磅),300+大白脾,6.4,磅,company-quote-2025-10,0.85
雞脾,雞脾,雞脾,6.4,磅,company-quote-2025-10 inferred_parent_from_cut_row,0.85
220-240美國雞脾,220 / 240美國雞脾(30LB),220 / 240美國雞脾,8.3,磅,company-quote-2025-10,0.85
240-260美國雞脾,240 / 260美國雞脾(30LB),240 / 260美國雞脾,8.3,磅,company-quote-2025-10,0.85
260-280中國雞脾,260 / 280中國雞脾(15KG),260 / 280中國雞脾,7.6,磅,company-quote-2025-10,0.85
泰式去骨仙爪,泰式去骨仙爪(16K) (2KG / 餅),泰式去骨仙爪,60,餅,company-quote-2025-10,0.85
炸鳳爪,炸鳳爪(10斤 / 包),炸鳳爪,11.5,磅,company-quote-2025-10,0.85
煲湯雞腳,煲湯雞腳,煲湯雞腳,5.4,磅,company-quote-2025-10,0.85
雞軟骨,雞軟骨粒(2KG X 8餅),雞軟骨,78,餅,company-quote-2025-10,0.85
去皮大胸肉,去皮大胸肉(2KG X 6餅),去皮大胸肉,25,餅,company-quote-2025-10,0.85
小胸肉,小胸肉(IQF) (1K X 10包),小胸肉,13.3,包,company-quote-2025-10,0.85
皇室農場無激素雞胸,皇室農場無激素雞胸(1K X 10包),皇室農場無激素雞胸,44,包,company-quote-2025-10,0.85
巴西雞全翼100,巴西雞全翼100+ (15K),巴西雞全翼100+,9.5,磅,company-quote-2025-10,0.85
雞中翼35g,雞中翼35g+,雞中翼35g+,12.8,磅,company-quote-2025-10,0.85
巴西雞中翼40g,巴西雞中翼40g+ (15K),巴西雞中翼40g+,14.2,磅,company-quote-2025-10,0.85
中國雞中翼50g,中國雞中翼50g+ (1K X 10包),中國雞中翼50g+,20.5,磅,company-quote-2025-10,0.85
雞翼鎚12kg,雞翼鎚12KG,雞翼鎚12KG,7.2,磅,company-quote-2025-10,0.85
雞翼尖18kg,雞翼尖18KG,雞翼尖18KG,5.5,磅,company-quote-2025-10,0.85
竹絲雞,竹絲雞(烏雞)(700G),竹絲雞,29,隻,company-quote-2025-10,0.85
凍三黃雞,凍三黃雞(2斤 / 2.5斤 / 3斤),凍三黃雞,16,斤,company-quote-2025-10,0.85
巴西春雞-900g,巴西春雞 900g+ (9KG),巴西春雞 900g+,8.5,磅,company-quote-2025-10,0.85
巴西春雞-1500g,巴西春雞 1500g+ (12KG),巴西春雞 1500g+,9.8,磅,company-quote-2025-10,0.85
雞殼,雞殼,雞殼,3.2,磅,company-quote-2025-10,0.85
美國大火腎,美國大火腎(10磅 / 包),美國大火腎,9,磅,company-quote-2025-10,0.85
雞子,雞子(1KG / 包),雞子,36,磅,company-quote-2025-10,0.85
米鴨,米鴨(1.6KG X 8隻 / 箱),米鴨,6.6,磅,company-quote-2025-10,0.85
煙鴨胸,煙鴨胸(10KG / 箱),煙鴨胸,11,磅,company-quote-2025-10,0.85
黑椒煙鴨胸,黑椒煙鴨胸(10KG / 箱),黑椒煙鴨胸,11.5,磅,company-quote-2025-10,0.85
生鴨胸,生鴨胸(10KG / 箱),生鴨胸,7.5,磅,company-quote-2025-10,0.85
炸鴨腳,炸鴨腳(10斤 / 袋),炸鴨腳,12.5,磅,company-quote-2025-10,0.85
220-240鴨脾,220 / 240鴨脾(10KG),220 / 240鴨脾,7.3,磅,company-quote-2025-10,0.85
鴨利,鴨利(1kg / 包),鴨利,95,KG,company-quote-2025-10,0.85
中國鵝肝,中國鵝肝(700~800g),中國鵝肝,290,KG,company-quote-2025-10,0.85
熟鵝腸,熟鵝腸(2.5KG * 6餅),熟鵝腸,137.5,餅,company-quote-2025-10,0.85
波蘭鵝腳,波蘭鵝腳(15KG),波蘭鵝腳,34,磅,company-quote-2025-10,0.85
紐西蘭羊卷肉,紐西蘭羊卷肉(網裝),紐西蘭羊卷肉,45,磅,company-quote-2025-10,0.85
中國羊卷肉,中國羊卷肉(柱裝),中國羊卷肉,31,磅,company-quote-2025-10,0.85
羊肉,羊肉片(代切),羊肉,31,磅,company-quote-2025-10,0.85
紐西蘭7支骨羊骨扒,紐西蘭7支骨羊骨扒(特級),紐西蘭7支骨羊骨扒,61,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=61 | prefer_原件抄碼_then_non代切_name | merge_key=紐西蘭7支骨羊骨扒|磅,0.85
淨羊腩,淨羊腩(原件),淨羊腩,34.5,磅,company-quote-2025-10,0.85
1-2kg紐西蘭青衣柳,1-2KG紐西蘭青衣柳(10KG),1-2KG紐西蘭青衣柳,37,磅,company-quote-2025-10,0.85
120-170越南魚柳m,120 / 170越南魚柳M(榮希),120 / 170越南魚柳M,7.5,磅,company-quote-2025-10 merged_from=2 parents | chosen_cost=7.5 | prefer_原件抄碼_then_non代切_name | merge_key=120 / 170越南魚柳M|磅,0.85
170-220越南魚柳l,170 / 220越南魚柳L,170 / 220越南魚柳L,7.2,磅,company-quote-2025-10,0.85
220-越南魚柳-xxl,220+越南魚柳 XXL (IQF),220+越南魚柳 XXL,7.2,磅,company-quote-2025-10,0.85
特選45頭蒲燒鰻魚,特選45頭蒲燒鰻魚(5kg / 盒),特選45頭蒲燒鰻魚,168,KG,company-quote-2025-10,0.85
特選100頭蒲燒鰻魚,特選100頭蒲燒鰻魚(5kg / 盒),特選100頭蒲燒鰻魚,168,KG,company-quote-2025-10,0.85
60頭蒲燒鰻魚,60頭蒲燒鰻魚(5kg / 盒),60頭蒲燒鰻魚,168,KG,company-quote-2025-10,0.85
蒲燒鰻魚,蒲燒鰻魚(500g),蒲燒鰻魚,96,條,company-quote-2025-10,0.85
蒲燒鰻魚-2,蒲燒鰻魚(300g),蒲燒鰻魚,64,條,company-quote-2025-10,0.85
蒲燒鰻魚碎肉,蒲燒鰻魚碎肉,蒲燒鰻魚碎肉,28,包,company-quote-2025-10,0.85
180紐西蘭魷魚頭,180紐西蘭魷魚頭(10KG),180紐西蘭魷魚頭,17.5,磅,company-quote-2025-10,0.85
u5魷魚筒,U5魷魚筒(10KG),U5魷魚筒,14.8,磅,company-quote-2025-10,0.85
21-25去皮鮮魷,21 / 25去皮鮮魷(16KG),21 / 25去皮鮮魷,15,磅,company-quote-2025-10,0.85
xl墨魚咀,XL墨魚咀(IQF),XL墨魚咀,18.5,磅,company-quote-2025-10,0.85
海鮮什錦,海鮮什錦(1kg / 包),海鮮什錦,24.5,KG,company-quote-2025-10,0.85
60魷魚翼,60魷魚翼(10KG),60魷魚翼,14.5,磅,company-quote-2025-10,0.85
水魷,水魷,水魷,28,磅,company-quote-2025-10,0.85
銀鱈魚,銀鱈魚(1級)(5~7磅) (代切+$1 / 磅),銀鱈魚,78,磅,company-quote-2025-10,0.85
鯖魚柳,鯖魚柳(70頭) (10KG),鯖魚柳,47,KG,company-quote-2025-10,0.85
煙三文魚,煙三文魚(1kg*10包),煙三文魚,118,KG,company-quote-2025-10,0.85
煙三文魚-2,煙三文魚(超市裝500G / 包),煙三文魚,72,包,company-quote-2025-10,0.85
急凍原條三文魚,急凍原條三文魚,急凍原條三文魚,34,磅,company-quote-2025-10,0.85
原條代切三文魚扒,原條代切三文魚扒,原條代切三文魚扒,34,磅,company-quote-2025-10,0.85
多春魚,多春魚,多春魚,17,磅,company-quote-2025-10,0.85
比目魚,比目魚(代切+$1 / 磅),比目魚,43,磅,company-quote-2025-10,0.85
白飯魚,白飯魚(銀魚) (1KG x 20盒),白飯魚,46.8,KG,company-quote-2025-10,0.85
1-2墨魚頭,1 / 2墨魚頭(12KG),1 / 2墨魚頭,21,磅,company-quote-2025-10,0.85
40-60墨魚仔,40 / 60墨魚仔(4.5磅 / 包),40 / 60墨魚仔,17.5,磅,company-quote-2025-10,0.85
100-200南美白蝦,100 / 200南美白蝦(1.8KG / 餅),100 / 200南美白蝦,14.5,磅,company-quote-2025-10,0.85
